product_id,product_name,category,sub_category,base_price,price,competitor_price,demand,rating,reviews,stock,season,discount,day_of_week
PROD_0001,Nikon D3500,Camera,Budget,32443,36279,31437,368,2.7,1574,387,Festive,10.2,Monday
PROD_0009,Sony Alpha ZV-E10,Camera,Mid,107159,115721,106729,382,4.1,1587,375,Normal,2,Sunday
PROD_0011,Sony Alpha ZV-E10,Camera,Mid,107159,114512,118501,295,3.6,897,470,Normal,10.3,Thursday
PROD_0020,Canon EOS M50 II,Camera,Mid,102117,109175,94682,429,4.5,1267,461,Festive,4.6,Saturday
PROD_0029,Nikon D3500,Camera,Budget,32443,36336,32846,426,3.6,2134,308,Festive,10,Sunday
PROD_0030,Nikon D3500,Camera,Budget,32443,35051,31741,374,3.4,1520,353,Normal,0,Tuesday
PROD_0031,Canon EOS M50 II,Camera,Mid,102117,114371,104479,423,3.7,1407,410,Festive,7.6,Thursday
PROD_0036,Nikon D3500,Camera,Budget,32443,35426,32759,425,3.9,2288,198,Normal,5.5,Monday
PROD_0037,Sony Alpha ZV-E10,Camera,Mid,107159,114370,116727,284,3.6,1027,480,Normal,0,Saturday
PROD_0043,Sony Alpha A7 IV,Camera,Premium,175511,196392,174499,445,3.5,442,488,Festive,13,Monday
PROD_0050,Sony Alpha ZV-E10,Camera,Mid,107159,119000,107790,374,3.5,1126,551,Festive,15.6,Wednesday
PROD_0060,Canon EOS M50 II,Camera,Mid,102117,110488,112316,353,4.1,1798,290,Normal,3.2,Thursday
PROD_0063,Sony Alpha ZV-E10,Camera,Mid,107159,114901,108526,352,4,1210,483,Normal,0,Thursday
PROD_0065,Sony Alpha ZV-E10,Camera,Mid,107159,111024,99016,327,3.7,1353,169,Normal,4.3,Friday
PROD_0070,Nikon D3500,Camera,Budget,32443,36336,35212,453,3.4,2772,416,Festive,11.8,Saturday
PROD_0076,Nikon D3500,Camera,Budget,32443,34847,35367,370,3.3,2002,473,Normal,0.6,Tuesday
PROD_0081,Sony Alpha ZV-E10,Camera,Mid,107159,114842,118829,276,3.3,898,380,Normal,1.6,Wednesday
PROD_0086,Nikon D3500,Camera,Budget,32443,35868,30875,445,3.8,2345,756,Festive,10.4,Saturday
PROD_0087,Sony Alpha A7 IV,Camera,Premium,175511,182777,158245,428,4.3,532,214,Normal,2.9,Saturday
PROD_0094,Canon EOS M50 II,Camera,Mid,102117,110447,97522,339,3.6,1104,277,Normal,2.9,Tuesday
PROD_0097,Sony Alpha A7 IV,Camera,Premium,175511,187160,158455,407,3.8,343,483,Festive,15.1,Monday
PROD_0103,Nikon D3500,Camera,Budget,32443,36095,31079,395,3.1,1823,541,Festive,14,Saturday
PROD_0104,Canon EOS 1500D,Camera,Budget,45357,48747,47738,272,3.1,2077,313,Normal,0,Monday
PROD_0105,Sony Alpha A7 IV,Camera,Premium,175511,188630,174934,328,4,50,397,Normal,2.1,Friday
PROD_0107,Canon EOS M50 II,Camera,Mid,102117,109089,102347,397,4.1,1243,630,Normal,1.9,Saturday
PROD_0125,Canon EOS M50 II,Camera,Mid,102117,104179,91569,326,4.2,924,485,Normal,3.7,Sunday
PROD_0126,Sony Alpha A7 IV,Camera,Premium,175511,193430,190275,434,4.3,1175,9,Normal,0,Tuesday
PROD_0131,Sony Alpha A7 IV,Camera,Premium,175511,196572,179679,466,4.3,50,338,Festive,16.9,Friday
PROD_0148,Sony Alpha A7 IV,Camera,Premium,175511,187480,188249,414,4.2,764,657,Normal,4.9,Saturday
PROD_0151,Canon EOS 1500D,Camera,Budget,45357,48970,47995,303,3,2075,261,Normal,0,Wednesday
PROD_0152,Sony Alpha A7 IV,Camera,Premium,175511,187287,163021,440,4.1,458,518,Festive,8.8,Tuesday
PROD_0154,Sony Alpha A7 IV,Camera,Premium,175511,189117,194428,327,3.6,483,340,Normal,0,Tuesday
PROD_0163,Nikon D3500,Camera,Budget,32443,34820,32771,323,3.3,1928,419,Normal,5.9,Sunday
PROD_0167,Sony Alpha A7 IV,Camera,Premium,175511,181465,160293,383,3.8,1122,296,Normal,1.5,Saturday
PROD_0175,Canon EOS 1500D,Camera,Budget,45357,46987,40219,346,3.7,2517,200,Normal,2.5,Monday
PROD_0177,Canon EOS 1500D,Camera,Budget,45357,48403,44149,353,3.1,2757,586,Normal,1.1,Wednesday
PROD_0189,Sony Alpha ZV-E10,Camera,Mid,107159,115035,103398,346,4.8,680,449,Normal,3.2,Tuesday
PROD_0198,Sony Alpha ZV-E10,Camera,Mid,107159,115704,116625,292,4,692,243,Normal,0.5,Friday
PROD_0205,Canon EOS 1500D,Camera,Budget,45357,46452,40743,352,3.6,2326,445,Normal,0,Tuesday
PROD_0207,Canon EOS M50 II,Camera,Mid,102117,113998,99398,430,3.8,1451,518,Festive,10.1,Monday
PROD_0209,Nikon D3500,Camera,Budget,32443,33529,30138,376,3.3,1921,294,Normal,3.5,Sunday
PROD_0211,Sony Alpha A7 IV,Camera,Premium,175511,187064,183354,317,3.5,50,559,Normal,0.4,Tuesday
PROD_0222,Canon EOS 1500D,Camera,Budget,45357,50000,44928,351,3.4,1862,496,Festive,10.5,Friday
PROD_0239,Nikon D3500,Camera,Budget,32443,33607,28752,390,3.4,2114,267,Normal,1.3,Thursday
PROD_0250,Canon EOS 1500D,Camera,Budget,45357,46620,40442,300,3.3,1506,293,Normal,6.3,Tuesday
PROD_0251,Sony Alpha ZV-E10,Camera,Mid,107159,116749,119347,260,3.7,663,0,Normal,3.4,Saturday
PROD_0255,Sony Alpha A7 IV,Camera,Premium,175511,196572,180859,469,4.9,50,209,Festive,13.1,Monday
PROD_0260,Canon EOS 1500D,Camera,Budget,45357,46579,40546,352,3.8,2234,389,Normal,2.7,Sunday
PROD_0261,Sony Alpha A7 IV,Camera,Premium,175511,189845,185178,433,5,196,416,Normal,2.6,Tuesday
PROD_0265,Nikon D3500,Camera,Budget,32443,34674,29359,437,3.5,2178,480,Festive,14.8,Wednesday
PROD_0268,Canon EOS M50 II,Camera,Mid,102117,109068,112046,279,3.7,687,457,Normal,1,Thursday
PROD_0279,Canon EOS 1500D,Camera,Budget,45357,50000,45631,411,3.5,2774,508,Festive,10.7,Sunday
PROD_0303,Canon EOS M50 II,Camera,Mid,102117,108588,105936,269,3.2,1189,536,Normal,0,Tuesday
PROD_0304,Sony Alpha A7 IV,Camera,Premium,175511,196572,166745,516,4.7,974,504,Festive,9.9,Thursday
PROD_0313,Canon EOS 1500D,Camera,Budget,45357,50000,45169,376,3.3,1959,236,Festive,7.8,Wednesday
PROD_0318,Canon EOS M50 II,Camera,Mid,102117,111611,107241,363,3.2,1206,885,Festive,10.7,Monday
PROD_0334,Sony Alpha A7 IV,Camera,Premium,175511,189529,180008,383,4.1,1237,377,Normal,0,Saturday
PROD_0350,Nikon D3500,Camera,Budget,32443,36336,33638,481,3.6,3028,294,Festive,15.7,Monday
PROD_0354,Sony Alpha A7 IV,Camera,Premium,175511,188941,165278,511,4.6,1194,436,Festive,3.9,Friday
PROD_0358,Canon EOS M50 II,Camera,Mid,102117,109311,113016,322,3.5,1150,474,Normal,0,Wednesday
PROD_0381,Canon EOS 1500D,Camera,Budget,45357,49769,44270,309,2.9,1622,718,Festive,11.4,Sunday
PROD_0390,Canon EOS M50 II,Camera,Mid,102117,105310,89912,335,3.7,772,277,Normal,0,Tuesday
PROD_0396,Nikon D3500,Camera,Budget,32443,34765,28817,458,3.3,1739,455,Festive,14,Wednesday
PROD_0413,Canon EOS M50 II,Camera,Mid,102117,113635,97175,336,3,485,448,Festive,10.9,Saturday
PROD_0414,Sony Alpha A7 IV,Camera,Premium,175511,190262,188827,402,3.9,620,322,Normal,0.4,Thursday
PROD_0419,Sony Alpha ZV-E10,Camera,Mid,107159,116902,113049,279,3.5,837,0,Normal,5.7,Wednesday
PROD_0426,Canon EOS M50 II,Camera,Mid,102117,109206,104462,299,3.8,1021,460,Normal,0,Sunday
PROD_0443,Sony Alpha A7 IV,Camera,Premium,175511,179710,158930,391,3.9,1420,508,Normal,5.6,Tuesday
PROD_0450,Nikon D3500,Camera,Budget,32443,34526,33315,307,2.8,2037,576,Normal,6.3,Thursday
PROD_0460,Nikon D3500,Camera,Budget,32443,36336,31065,457,3.6,2502,418,Festive,8.9,Sunday
PROD_0466,Sony Alpha A7 IV,Camera,Premium,175511,196572,184087,513,4.7,774,533,Festive,7.5,Monday
PROD_0468,Sony Alpha ZV-E10,Camera,Mid,107159,120018,118078,468,4.2,1248,228,Festive,12.1,Sunday
PROD_0469,Sony Alpha A7 IV,Camera,Premium,175511,184176,156337,403,4.2,319,17,Normal,3.6,Thursday
PROD_0477,Canon EOS 1500D,Camera,Budget,45357,46116,40775,244,3,2235,431,Normal,4.7,Tuesday
PROD_0480,Nikon D3500,Camera,Budget,32443,34711,28869,431,3.7,2572,448,Festive,8.6,Tuesday
PROD_0483,Sony Alpha ZV-E10,Camera,Mid,107159,114293,119983,331,4.2,2170,565,Normal,3.5,Tuesday
PROD_0488,Canon EOS 1500D,Camera,Budget,45357,50000,43390,383,3.3,1948,457,Festive,5.9,Thursday
PROD_0502,Sony Alpha ZV-E10,Camera,Mid,107159,109754,96306,321,3.9,146,397,Normal,3,Monday
PROD_0506,Canon EOS M50 II,Camera,Mid,102117,109423,92232,392,4.2,1250,357,Festive,16.3,Friday
PROD_0518,Sony Alpha ZV-E10,Camera,Mid,107159,108991,101757,334,3.9,1360,559,Normal,0,Saturday
PROD_0522,Canon EOS M50 II,Camera,Mid,102117,109688,106693,342,3.8,1323,430,Normal,6.1,Monday
PROD_0533,Sony Alpha ZV-E10,Camera,Mid,107159,116645,115992,333,3.8,1361,129,Normal,4.4,Wednesday
PROD_0537,Nikon D3500,Camera,Budget,32443,36336,34179,466,3.7,2301,302,Festive,8.2,Sunday
PROD_0539,Sony Alpha A7 IV,Camera,Premium,175511,187945,165558,464,4.1,682,479,Festive,6.5,Wednesday
PROD_0546,Canon EOS 1500D,Camera,Budget,45357,49952,43157,369,3.4,2536,727,Festive,7.2,Friday
PROD_0548,Canon EOS 1500D,Camera,Budget,45357,48868,44720,283,3.5,1679,276,Normal,1.7,Saturday
PROD_0549,Sony Alpha ZV-E10,Camera,Mid,107159,114295,105185,362,4.3,1568,611,Normal,2.1,Monday
PROD_0557,Sony Alpha A7 IV,Camera,Premium,175511,196572,185559,431,4.2,469,352,Festive,5.3,Wednesday
PROD_0560,Sony Alpha A7 IV,Camera,Premium,175511,196572,188796,481,3.8,1246,299,Festive,10.9,Monday
PROD_0579,Sony Alpha A7 IV,Camera,Premium,175511,195764,196297,484,4.4,692,618,Festive,12.4,Thursday
PROD_0585,Sony Alpha ZV-E10,Camera,Mid,107159,115654,117958,321,4.1,1426,296,Normal,0.9,Saturday
PROD_0589,Sony Alpha ZV-E10,Camera,Mid,107159,110365,99760,279,3.4,1025,220,Normal,3.3,Tuesday
PROD_0601,Sony Alpha A7 IV,Camera,Premium,175511,188832,190884,388,4.4,518,464,Normal,0,Friday
PROD_0616,Sony Alpha ZV-E10,Camera,Mid,107159,107137,95900,340,3.6,1455,914,Normal,0,Sunday
PROD_0623,Nikon D3500,Camera,Budget,32443,35343,36257,364,3.7,1920,158,Normal,2.4,Wednesday
PROD_0628,Sony Alpha A7 IV,Camera,Premium,175511,190767,185110,401,4.3,296,263,Normal,0,Tuesday
PROD_0639,Canon EOS M50 II,Camera,Mid,102117,109027,94269,415,3.9,822,469,Festive,9.4,Saturday
PROD_0645,Sony Alpha A7 IV,Camera,Premium,175511,190398,160129,503,4.3,1501,258,Festive,11.5,Saturday
PROD_0647,Canon EOS M50 II,Camera,Mid,102117,114371,99167,396,3.6,974,340,Festive,9.6,Sunday
PROD_0652,Sony Alpha ZV-E10,Camera,Mid,107159,116021,116225,306,4,215,205,Normal,3.1,Wednesday
PROD_0675,Canon EOS 1500D,Camera,Budget,45357,50000,47601,363,3.5,2203,310,Festive,17.9,Tuesday
PROD_0681,Nikon D3500,Camera,Budget,32443,36105,34448,456,3.8,1855,626,Festive,14.6,Sunday
PROD_0693,Canon EOS 1500D,Camera,Budget,45357,50000,44854,427,3.9,2894,507,Festive,11,Monday
PROD_0694,Sony Alpha ZV-E10,Camera,Mid,107159,115228,104595,328,4.1,1424,386,Normal,4.2,Sunday
PROD_0696,Canon EOS M50 II,Camera,Mid,102117,109811,99054,322,3.6,792,376,Normal,1.9,Tuesday
PROD_0707,Sony Alpha A7 IV,Camera,Premium,175511,190201,169543,390,4.4,277,311,Normal,0.1,Sunday
PROD_0708,Canon EOS M50 II,Camera,Mid,102117,109500,106494,370,3.9,1292,509,Normal,0,Friday
PROD_0715,Sony Alpha ZV-E10,Camera,Mid,107159,114191,118872,301,3.2,1326,539,Normal,0,Saturday
PROD_0717,Sony Alpha A7 IV,Camera,Premium,175511,182171,159346,418,4.5,321,268,Normal,0,Tuesday
PROD_0720,Nikon D3500,Camera,Budget,32443,36336,33032,440,3.5,1650,310,Festive,11.4,Thursday
PROD_0721,Canon EOS 1500D,Camera,Budget,45357,50000,47215,353,3.1,2060,414,Festive,13.5,Monday
PROD_0728,Canon EOS 1500D,Camera,Budget,45357,49112,46414,314,3.6,2268,215,Normal,0,Wednesday
PROD_0731,Sony Alpha ZV-E10,Camera,Mid,107159,115889,105791,363,3.9,1661,315,Normal,0,Thursday
PROD_0732,Canon EOS 1500D,Camera,Budget,45357,49151,45993,326,3.2,2270,216,Normal,6.6,Saturday
PROD_0742,Sony Alpha A7 IV,Camera,Premium,175511,188950,180804,389,4.1,1017,452,Normal,0,Sunday
PROD_0746,Canon EOS M50 II,Camera,Mid,102117,108729,95686,380,3.7,1090,475,Festive,12.7,Monday
PROD_0749,Sony Alpha ZV-E10,Camera,Mid,107159,115672,96791,350,3.7,754,136,Festive,12,Tuesday
PROD_0750,Canon EOS M50 II,Camera,Mid,102117,114031,104479,423,4.3,1685,501,Festive,16.6,Monday
PROD_0755,Sony Alpha ZV-E10,Camera,Mid,107159,115750,106526,309,3.7,1362,260,Normal,4.1,Tuesday
PROD_0760,Canon EOS M50 II,Camera,Mid,102117,114031,107390,419,3.7,1508,495,Festive,12.3,Thursday
PROD_0765,Canon EOS M50 II,Camera,Mid,102117,105902,94431,269,3.3,875,62,Normal,1.1,Friday
PROD_0768,Sony Alpha A7 IV,Camera,Premium,175511,191293,175216,419,4.5,50,230,Normal,1.6,Wednesday
PROD_0773,Nikon D3500,Camera,Budget,32443,34744,33923,348,3.5,2242,503,Normal,0,Saturday
PROD_0774,Sony Alpha A7 IV,Camera,Premium,175511,187502,191003,389,4.4,865,617,Normal,3.7,Friday
PROD_0776,Canon EOS M50 II,Camera,Mid,102117,114371,107851,418,4.2,1374,319,Festive,5.3,Saturday
PROD_0778,Sony Alpha ZV-E10,Camera,Mid,107159,115560,112098,318,3.8,1435,309,Normal,0,Wednesday
PROD_0780,Canon EOS M50 II,Camera,Mid,102117,110133,108675,358,4,1820,367,Normal,1.6,Sunday
PROD_0786,Nikon D3500,Camera,Budget,32443,36336,31627,443,3,2105,261,Festive,8.7,Monday
PROD_0793,Nikon D3500,Camera,Budget,32443,33743,28822,402,3.7,2254,201,Normal,4.1,Thursday
PROD_0805,Nikon D3500,Camera,Budget,32443,35249,34929,386,3.4,1934,249,Normal,0.4,Sunday
PROD_0818,Sony Alpha ZV-E10,Camera,Mid,107159,109074,95127,297,3.6,1362,488,Normal,7.2,Thursday
PROD_0826,Nikon D3500,Camera,Budget,32443,34857,30862,307,2.8,1603,372,Normal,4.2,Tuesday
PROD_0839,Canon EOS M50 II,Camera,Mid,102117,104358,91108,328,3.7,1168,453,Normal,2.2,Sunday
PROD_0842,Nikon D3500,Camera,Budget,32443,33347,30464,371,3.2,1869,399,Normal,3.1,Sunday
PROD_0849,Canon EOS M50 II,Camera,Mid,102117,109349,106082,363,3.9,1471,528,Normal,8.1,Thursday
PROD_0851,Sony Alpha ZV-E10,Camera,Mid,107159,113759,100621,402,3.7,1195,571,Festive,12.6,Wednesday
PROD_0853,Nikon D3500,Camera,Budget,32443,34615,30473,374,2.9,1803,422,Festive,11,Tuesday
PROD_0854,Sony Alpha A7 IV,Camera,Premium,175511,196572,195447,440,4.1,50,321,Festive,11.7,Tuesday
PROD_0857,Sony Alpha ZV-E10,Camera,Mid,107159,114636,106676,297,3.3,1014,450,Normal,0,Saturday
PROD_0867,Nikon D3500,Camera,Budget,32443,34787,35090,411,3.5,2032,571,Normal,0,Wednesday
PROD_0871,Sony Alpha A7 IV,Camera,Premium,175511,181903,164775,437,4.7,770,327,Normal,1.6,Monday
PROD_0881,Sony Alpha ZV-E10,Camera,Mid,107159,114550,119553,365,4.1,1798,568,Normal,3.1,Sunday
PROD_0895,Sony Alpha ZV-E10,Camera,Mid,107159,119206,109815,407,4.2,656,562,Festive,14,Wednesday
PROD_0900,Sony Alpha ZV-E10,Camera,Mid,107159,120018,114656,381,3.3,1032,189,Festive,7.2,Friday
PROD_0903,Canon EOS M50 II,Camera,Mid,102117,104823,92478,310,3.5,1057,335,Normal,1.5,Tuesday
PROD_0910,Nikon D3500,Camera,Budget,32443,35168,30269,408,2.9,1607,132,Festive,17.9,Saturday
PROD_0922,Sony Alpha A7 IV,Camera,Premium,175511,188946,156967,468,4.3,1361,371,Festive,11.1,Tuesday
PROD_0924,Canon EOS M50 II,Camera,Mid,102117,109686,94548,457,4.1,2036,403,Festive,8.6,Wednesday
PROD_0926,Nikon D3500,Camera,Budget,32443,36336,35631,445,3.7,2249,256,Festive,7,Monday
PROD_0928,Sony Alpha ZV-E10,Camera,Mid,107159,116629,110072,377,4.4,890,198,Normal,2,Tuesday
PROD_0934,Canon EOS M50 II,Camera,Mid,102117,114371,102258,378,3.5,1321,249,Festive,9.2,Wednesday
PROD_0957,Canon EOS 1500D,Camera,Budget,45357,49130,47100,326,3.1,1803,225,Normal,0,Wednesday
PROD_0962,Canon EOS 1500D,Camera,Budget,45357,50000,45018,312,2.7,1680,284,Festive,14,Saturday
PROD_0970,Canon EOS 1500D,Camera,Budget,45357,48707,41324,417,3.6,2707,348,Festive,8.5,Saturday
PROD_0974,Canon EOS 1500D,Camera,Budget,45357,48878,47203,288,3.3,2147,279,Normal,0,Saturday
PROD_0976,Canon EOS 1500D,Camera,Budget,45357,50000,45753,397,3.4,2090,385,Festive,13,Thursday
PROD_0981,Canon EOS M50 II,Camera,Mid,102117,104588,96987,304,3.8,850,372,Normal,0.5,Wednesday
PROD_0985,Sony Alpha ZV-E10,Camera,Mid,107159,114965,117679,314,3.6,1105,414,Normal,2.9,Sunday
PROD_0991,Canon EOS 1500D,Camera,Budget,45357,48621,45088,289,2.7,2019,394,Normal,0,Tuesday
PROD_0996,Nikon D3500,Camera,Budget,32443,35856,32795,357,3,1646,631,Festive,11.6,Friday
PROD_1000,Sony Alpha A7 IV,Camera,Premium,175511,190745,189928,358,4.2,50,201,Normal,0,Friday
PROD_1015,Sony Alpha A7 IV,Camera,Premium,175511,196572,167865,446,4.3,140,414,Festive,12.3,Thursday
PROD_1028,Sony Alpha ZV-E10,Camera,Mid,107159,114151,114413,318,4.1,833,572,Normal,6,Monday
PROD_1037,Sony Alpha A7 IV,Camera,Premium,175511,188661,174018,371,4.4,609,458,Normal,2.4,Sunday
PROD_1043,Nikon D3500,Camera,Budget,32443,34756,33288,378,3.1,2642,541,Normal,1.3,Monday
PROD_1046,Canon EOS 1500D,Camera,Budget,45357,46428,41907,321,3.3,2261,409,Normal,0,Saturday
PROD_1047,Sony Alpha A7 IV,Camera,Premium,175511,196572,177847,397,4,50,168,Festive,4.6,Friday
PROD_1048,Canon EOS 1500D,Camera,Budget,45357,48690,42179,304,2.8,1556,186,Festive,14.2,Thursday
PROD_1063,Canon EOS 1500D,Camera,Budget,45357,49254,41211,381,3.9,2040,53,Festive,11.9,Monday
PROD_1067,Sony Alpha ZV-E10,Camera,Mid,107159,120018,102278,397,4.2,1085,368,Festive,11.4,Tuesday
PROD_1071,Sony Alpha ZV-E10,Camera,Mid,107159,120018,113458,376,3.9,1272,297,Festive,9.8,Monday
PROD_1081,Canon EOS 1500D,Camera,Budget,45357,48297,43276,285,3,2152,531,Normal,0,Sunday
PROD_1089,Nikon D3500,Camera,Budget,32443,34551,28840,408,2.9,2199,512,Festive,11.8,Friday
PROD_1095,Sony Alpha ZV-E10,Camera,Mid,107159,120018,108256,374,4.2,1070,280,Festive,5.3,Tuesday
PROD_1097,Sony Alpha ZV-E10,Camera,Mid,107159,120018,101915,379,3.7,781,277,Festive,14.4,Monday
PROD_1107,Canon EOS 1500D,Camera,Budget,45357,50000,45706,345,3.2,1518,358,Festive,10.3,Sunday
PROD_1108,Nikon D3500,Camera,Budget,32443,36336,34541,470,3.5,2551,370,Festive,11.5,Saturday
PROD_1114,Sony Alpha ZV-E10,Camera,Mid,107159,116661,114665,373,3.9,1817,186,Normal,5.3,Saturday
PROD_1134,Sony Alpha A7 IV,Camera,Premium,175511,189973,179983,382,4.4,50,325,Normal,4.4,Sunday
PROD_1135,Canon EOS 1500D,Camera,Budget,45357,50000,46544,303,2.8,1570,66,Festive,15.3,Monday
PROD_1146,Nikon D3500,Camera,Budget,32443,36322,36310,403,3.5,2083,413,Festive,13.5,Thursday
PROD_1149,Sony Alpha ZV-E10,Camera,Mid,107159,115139,98862,437,4.1,1902,366,Festive,8.1,Monday
PROD_1155,Canon EOS M50 II,Camera,Mid,102117,105129,94684,352,4.1,1567,338,Normal,0,Wednesday
PROD_1158,Nikon D3500,Camera,Budget,32443,34937,33633,344,3.2,1715,378,Normal,0,Friday
PROD_1165,Canon EOS M50 II,Camera,Mid,102117,107820,92750,334,3.6,578,584,Festive,10.3,Tuesday
PROD_1167,Canon EOS M50 II,Camera,Mid,102117,109247,103301,259,3.4,687,392,Normal,0,Tuesday
PROD_1170,Canon EOS 1500D,Camera,Budget,45357,48224,40060,381,3.3,1953,507,Festive,12.6,Wednesday
PROD_1171,Sony Alpha A7 IV,Camera,Premium,175511,188845,170545,379,3.9,50,449,Normal,7.3,Monday
PROD_1176,Sony Alpha A7 IV,Camera,Premium,175511,196572,187715,537,4.9,954,512,Festive,9.2,Monday
PROD_1207,Canon EOS 1500D,Camera,Budget,45357,48801,45504,296,3.3,1860,325,Normal,0.9,Tuesday
PROD_1218,Nikon D3500,Camera,Budget,32443,33832,29814,439,3.6,2393,202,Normal,0,Tuesday
PROD_1225,Canon EOS M50 II,Camera,Mid,102117,110641,105899,347,4.1,843,251,Normal,2.9,Wednesday
PROD_1230,Sony Alpha ZV-E10,Camera,Mid,107159,114587,115313,299,3.7,840,462,Normal,5,Monday
PROD_1240,Sony Alpha ZV-E10,Camera,Mid,107159,113406,104985,326,3.9,1099,723,Normal,0,Thursday
PROD_1249,Canon EOS M50 II,Camera,Mid,102117,110827,103674,354,4,1583,225,Normal,0.5,Saturday
PROD_1252,Canon EOS M50 II,Camera,Mid,102117,110939,105321,362,3.7,1173,215,Normal,0,Thursday
PROD_1255,Canon EOS 1500D,Camera,Budget,45357,50000,49892,387,3.5,2368,382,Festive,14.9,Tuesday
PROD_1256,Canon EOS M50 II,Camera,Mid,102117,109043,92392,341,3.6,328,355,Festive,11.8,Monday
PROD_1266,Canon EOS M50 II,Camera,Mid,102117,110556,96444,382,3.6,1377,120,Festive,15.6,Monday
PROD_1274,Canon EOS M50 II,Camera,Mid,102117,108838,104727,339,3.3,1391,592,Normal,1.6,Tuesday
